vendor,arxiv_id,title,pages,status,error,text_file
DeepSeek,2401.02954,DeepSeek LLM: Scaling Open-Source Language Models with Longtermism,48,extracted,,C:\Users\876762330\Desktop\projects\面向8B参数大模型设计的日常多Agent系统\literature_archive\foundation_model_reading\full_text\2401.02954_DeepSeek.txt
DeepSeek,2401.06066,DeepSeekMoE: Towards Ultimate Expert Specialization in Mixture-of-Experts Language Models,33,extracted,,C:\Users\876762330\Desktop\projects\面向8B参数大模型设计的日常多Agent系统\literature_archive\foundation_model_reading\full_text\2401.06066_DeepSeek.txt
DeepSeek,2401.14196,DeepSeek-Coder: When the Large Language Model Meets Programming -- The Rise of Code Intelligence,23,extracted,,C:\Users\876762330\Desktop\projects\面向8B参数大模型设计的日常多Agent系统\literature_archive\foundation_model_reading\full_text\2401.14196_DeepSeek.txt
DeepSeek,2402.03300,DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models,30,extracted,,C:\Users\876762330\Desktop\projects\面向8B参数大模型设计的日常多Agent系统\literature_archive\foundation_model_reading\full_text\2402.03300_DeepSeek.txt
DeepSeek,2403.05525,DeepSeek-VL: Towards Real-World Vision-Language Understanding,33,extracted,,C:\Users\876762330\Desktop\projects\面向8B参数大模型设计的日常多Agent系统\literature_archive\foundation_model_reading\full_text\2403.05525_DeepSeek.txt
DeepSeek,2405.04434,"DeepSeek-V2: A Strong, Economical, and Efficient Mixture-of-Experts Language Model",52,extracted,,C:\Users\876762330\Desktop\projects\面向8B参数大模型设计的日常多Agent系统\literature_archive\foundation_model_reading\full_text\2405.04434_DeepSeek.txt
DeepSeek,2405.14333,DeepSeek-Prover: Advancing Theorem Proving in LLMs through Large-Scale Synthetic Data,17,extracted,,C:\Users\876762330\Desktop\projects\面向8B参数大模型设计的日常多Agent系统\literature_archive\foundation_model_reading\full_text\2405.14333_DeepSeek.txt
DeepSeek,2406.11931,DeepSeek-Coder-V2: Breaking the Barrier of Closed-Source Models in Code Intelligence,19,extracted,,C:\Users\876762330\Desktop\projects\面向8B参数大模型设计的日常多Agent系统\literature_archive\foundation_model_reading\full_text\2406.11931_DeepSeek.txt
DeepSeek,2408.08152,DeepSeek-Prover-V1.5: Harnessing Proof Assistant Feedback for Reinforcement Learning and Monte-Carlo Tree Search,28,extracted,,C:\Users\876762330\Desktop\projects\面向8B参数大模型设计的日常多Agent系统\literature_archive\foundation_model_reading\full_text\2408.08152_DeepSeek.txt
DeepSeek,2410.13848,Janus: Decoupling Visual Encoding for Unified Multimodal Understanding and Generation,24,extracted,,C:\Users\876762330\Desktop\projects\面向8B参数大模型设计的日常多Agent系统\literature_archive\foundation_model_reading\full_text\2410.13848_DeepSeek.txt
DeepSeek,2412.10302,DeepSeek-VL2: Mixture-of-Experts Vision-Language Models for Advanced Multimodal Understanding,28,extracted,,C:\Users\876762330\Desktop\projects\面向8B参数大模型设计的日常多Agent系统\literature_archive\foundation_model_reading\full_text\2412.10302_DeepSeek.txt
DeepSeek,2412.19437,DeepSeek-V3 Technical Report,53,extracted,,C:\Users\876762330\Desktop\projects\面向8B参数大模型设计的日常多Agent系统\literature_archive\foundation_model_reading\full_text\2412.19437_DeepSeek.txt
DeepSeek,2501.12948,DeepSeek-R1: Incentivizing Reasoning Capability in LLMs via Reinforcement Learning,86,extracted,,C:\Users\876762330\Desktop\projects\面向8B参数大模型设计的日常多Agent系统\literature_archive\foundation_model_reading\full_text\2501.12948_DeepSeek.txt
DeepSeek,2501.17811,Janus-Pro: Unified Multimodal Understanding and Generation with Data and Model Scaling,13,extracted,,C:\Users\876762330\Desktop\projects\面向8B参数大模型设计的日常多Agent系统\literature_archive\foundation_model_reading\full_text\2501.17811_DeepSeek.txt
DeepSeek,2504.21801,DeepSeek-Prover-V2: Advancing Formal Mathematical Reasoning via Reinforcement Learning for Subgoal Decomposition,39,extracted,,C:\Users\876762330\Desktop\projects\面向8B参数大模型设计的日常多Agent系统\literature_archive\foundation_model_reading\full_text\2504.21801_DeepSeek.txt
DeepSeek,2510.18234,DeepSeek-OCR: Contexts Optical Compression,22,extracted,,C:\Users\876762330\Desktop\projects\面向8B参数大模型设计的日常多Agent系统\literature_archive\foundation_model_reading\full_text\2510.18234_DeepSeek.txt
